Zip,City,State,Region,District
15201,"Pittsburgh, PA",PA,East,District #13
15202,"Pittsburgh, PA",PA,East,District #13
15203,"Pittsburgh, PA",PA,East,District #13
15204,"Pittsburgh, PA",PA,East,District #13
15205,"Pittsburgh, PA",PA,East,District #13
15206,"Pittsburgh, PA",PA,East,District #13
15207,"Pittsburgh, PA",PA,East,District #13
15208,"Pittsburgh, PA",PA,East,District #13
15209,"Pittsburgh, PA",PA,East,District #13
15210,"Pittsburgh, PA",PA,East,District #13
15211,"Pittsburgh, PA",PA,East,District #13
15212,"Pittsburgh, PA",PA,East,District #13
15213,"Pittsburgh, PA",PA,East,District #13
15214,"Pittsburgh, PA",PA,East,District #13
15215,"Pittsburgh, PA",PA,East,District #13
15216,"Pittsburgh, PA",PA,East,District #13
15217,"Pittsburgh, PA",PA,East,District #13
15218,"Pittsburgh, PA",PA,East,District #13
15219,"Pittsburgh, PA",PA,East,District #13
15220,"Pittsburgh, PA",PA,East,District #13
15221,"Pittsburgh, PA",PA,East,District #13
15222,"Pittsburgh, PA",PA,East,District #13
15223,"Pittsburgh, PA",PA,East,District #13
15224,"Pittsburgh, PA",PA,East,District #13
15225,"Pittsburgh, PA",PA,East,District #13
15226,"Pittsburgh, PA",PA,East,District #13
15227,"Pittsburgh, PA",PA,East,District #13
15228,"Pittsburgh, PA",PA,East,District #13
15229,"Pittsburgh, PA",PA,East,District #13
15230,"Pittsburgh, PA",PA,East,District #13
15231,"Pittsburgh, PA",PA,East,District #13
15232,"Pittsburgh, PA",PA,East,District #13
15233,"Pittsburgh, PA",PA,East,District #13
15234,"Pittsburgh, PA",PA,East,District #13
15235,"Pittsburgh, PA",PA,East,District #13
15236,"Pittsburgh, PA",PA,East,District #13
15237,"Pittsburgh, PA",PA,East,District #13
15238,"Pittsburgh, PA",PA,East,District #13
15239,"Pittsburgh, PA",PA,East,District #13
15240,"Pittsburgh, PA",PA,East,District #13
15241,"Pittsburgh, PA",PA,East,District #13
15242,"Pittsburgh, PA",PA,East,District #13
15243,"Pittsburgh, PA",PA,East,District #13
15244,"Pittsburgh, PA",PA,East,District #13
15250,"Pittsburgh, PA",PA,East,District #13
15251,"Pittsburgh, PA",PA,East,District #13
15252,"Pittsburgh, PA",PA,East,District #13
15253,"Pittsburgh, PA",PA,East,District #13
15254,"Pittsburgh, PA",PA,East,District #13
15255,"Pittsburgh, PA",PA,East,District #13
15257,"Pittsburgh, PA",PA,East,District #13
15258,"Pittsburgh, PA",PA,East,District #13
15259,"Pittsburgh, PA",PA,East,District #13
15260,"Pittsburgh, PA",PA,East,District #13
15261,"Pittsburgh, PA",PA,East,District #13
15262,"Pittsburgh, PA",PA,East,District #13
15264,"Pittsburgh, PA",PA,East,District #13
15265,"Pittsburgh, PA",PA,East,District #13
15267,"Pittsburgh, PA",PA,East,District #13
15268,"Pittsburgh, PA",PA,East,District #13
15270,"Pittsburgh, PA",PA,East,District #13
15272,"Pittsburgh, PA",PA,East,District #13
15274,"Pittsburgh, PA",PA,East,District #13
15275,"Pittsburgh, PA",PA,East,District #13
15276,"Pittsburgh, PA",PA,East,District #13
15277,"Pittsburgh, PA",PA,East,District #13
15278,"Pittsburgh, PA",PA,East,District #13
15279,"Pittsburgh, PA",PA,East,District #13
15281,"Pittsburgh, PA",PA,East,District #13
15282,"Pittsburgh, PA",PA,East,District #13
15283,"Pittsburgh, PA",PA,East,District #13
15286,"Pittsburgh, PA",PA,East,District #13
15289,"Pittsburgh, PA",PA,East,District #13
15290,"Pittsburgh, PA",PA,East,District #13
15295,"Pittsburgh, PA",PA,East,District #13
15937,"Jerome, PA",PA,East,District #13
15938,"Lilly, PA",PA,East,District #13
15940,"Loretto, PA",PA,East,District #13
15942,"Mineral Point, PA",PA,East,District #13
15943,"Nanty Glo, PA",PA,East,District #13
15944,"New Florence, PA",PA,East,District #13
15945,"Parkhill, PA",PA,East,District #13
15946,"Portage, PA",PA,East,District #13
15948,"Revloc, PA",PA,East,District #13
15949,"Robinson, PA",PA,East,District #13
15951,"Saint Michael, PA",PA,East,District #13
15952,"Salix, PA",PA,East,District #13
15953,"Seanor, PA",PA,East,District #13
15954,"Seward, PA",PA,East,District #13
15955,"Sidman, PA",PA,East,District #13
15956,"South Fork, PA",PA,East,District #13
15957,"Strongstown, PA",PA,East,District #13
15958,"Summerhill, PA",PA,East,District #13
15959,"Tire Hill, PA",PA,East,District #13
15960,"Twin Rocks, PA",PA,East,District #13
15961,"Vintondale, PA",PA,East,District #13
15962,"Wilmore, PA",PA,East,District #13
15963,"Windber, PA",PA,East,District #13
16001,"Butler, PA",PA,East,District #13
16002,"Butler, PA",PA,East,District #13
16003,"Butler, PA",PA,East,District #13
16016,"Boyers, PA",PA,East,District #13
16017,"Boyers, PA",PA,East,District #13
16018,"Boyers, PA",PA,East,District #13
16020,"Boyers, PA",PA,East,District #13
16021,"Branchton, PA",PA,East,District #13
16022,"Bruin, PA",PA,East,District #13
16023,"Cabot, PA",PA,East,District #13
16024,"Callery, PA",PA,East,District #13
16025,"Chicora, PA",PA,East,District #13
16027,"Connoquenessing, PA",PA,East,District #13
16028,"East Brady, PA",PA,East,District #13
16029,"East Butler, PA",PA,East,District #13
16030,"Eau Claire, PA",PA,East,District #13
16033,"Evans City, PA",PA,East,District #13
16034,"Fenelton, PA",PA,East,District #13
16035,"Forestville, PA",PA,East,District #13
16036,"Foxburg, PA",PA,East,District #13
16037,"Harmony, PA",PA,East,District #13
16038,"Harrisville, PA",PA,East,District #13
16039,"Herman, PA",PA,East,District #13
16040,"Hilliards, PA",PA,East,District #13
16041,"Karns City, PA",PA,East,District #13
16045,"Lyndora, PA",PA,East,District #13
16046,"Mars, PA",PA,East,District #13
16048,"North Washington, PA",PA,East,District #13
16049,"Parker, PA",PA,East,District #13
16050,"Petrolia, PA",PA,East,District #13
16051,"Portersville, PA",PA,East,District #13
16052,"Prospect, PA",PA,East,District #13
16053,"Renfrew, PA",PA,East,District #13
16054,"Saint Petersburg, PA",PA,East,District #13
16055,"Sarver, PA",PA,East,District #13
16056,"Saxonburg, PA",PA,East,District #13
16057,"Slippery Rock, PA",PA,East,District #13
16058,"Turkey City, PA",PA,East,District #13
16059,"Valencia, PA",PA,East,District #13
16061,"West Sunbury, PA",PA,East,District #13
16063,"Zelienople, PA",PA,East,District #13
16066,"Cranberry Township, PA",PA,East,District #13
16101,"New Castle, PA",PA,East,District #13
16102,"New Castle, PA",PA,East,District #13
16103,"New Castle, PA",PA,East,District #13
16105,"New Castle, PA",PA,East,District #13
16107,"New Castle, PA",PA,East,District #13
16108,"New Castle, PA",PA,East,District #13
16110,"Adamsville, PA",PA,East,District #13
16111,"Atlantic, PA",PA,East,District #13
16112,"Bessemer, PA",PA,East,District #13
16115,"Darlington, PA",PA,East,District #13
16116,"Edinburg, PA",PA,East,District #13
16117,"Ellwood City, PA",PA,East,District #13
16120,"Enon Valley, PA",PA,East,District #13
16123,"Fombell, PA",PA,East,District #13
16130,"Hadley, PA",PA,East,District #13
16131,"Hartstown, PA",PA,East,District #13
16132,"Hillsville, PA",PA,East,District #13
16134,"Jamestown, PA",PA,East,District #13
16136,"Koppel, PA",PA,East,District #13
16140,"New Bedford, PA",PA,East,District #13
